prov,head_popgrp,hsg_maind,hsg_rm_tot,hsg_rent,onemed_hh,ad60plusyr_hh,lab_salary_hh,soc_grant_hh,metro_code,
1,2,1,6,88,0,2,9475,0,1,
1,2,5,3,88,0,0,2008,0,1,
1,1,5,1,88,0,0,6926,0,1,
1,2,1,4,88,0,0,5005,2,1,
1,2,1,10,6,3,0,48080,1,1,
1,4,1,6,6,2,0,43166,0,1,
1,4,1,9,88,2,2,0,0,1,
1,4,1,7,88,1,0,18950,0,1,
1,4,1,9,6,3,1,48287,0,1,
1,2,1,7,88,2,0,28541,0,1,
1,2,1,1,2,0,1,3257,1,1,
1,2,1,5,88,0,0,0,1,1,
1,2,1,4,88,0,0,9475,1,1,
1,2,1,8,88,0,0,0,1,1,
1,2,1,12,88,0,0,0,2,1,
1,4,1,6,7,0,0,0,0,1,
1,4,1,9,88,0,0,34935,0,1,
1,2,1,4,88,0,2,0,2,1,
1,2,1,3,88,0,1,0,1,1,
1,2,1,4,88,0,0,2997,1,1,
1,2,1,5,88,0,0,26704,0,1,
1,2,1,5,88,0,0,5600,1,1,
1,1,9,1,88,0,0,3000,0,1,
1,1,9,1,88,0,0,1249,0,1,
1,1,9,1,88,0,0,4000,0,1,
1,1,9,1,88,0,0,3600,0,1,
1,1,9,1,88,0,0,2997,0,1,
1,1,9,1,88,0,0,5000,0,1,
1,1,9,1,88,0,0,4160,0,1,
1,1,9,1,88,0,0,8800,0,1,
1,1,9,1,88,0,0,4500,0,1,
1,1,9,1,88,0,0,4400,0,1,
1,2,6,4,88,0,1,5994,0,1,
1,2,1,3,88,0,0,5257,5,1,
1,2,1,5,88,1,1,34935,1,1,
1,2,6,2,88,0,0,0,1,1,
1,2,6,4,88,0,0,6958,2,1,
1,1,8,1,88,0,0,0,1,1,
1,2,1,7,88,0,0,2008,1,1,
1,2,1,8,88,1,1,21583,0,1,
1,2,1,7,88,3,0,31058,0,1,
1,2,1,7,88,0,0,12183,1,1,
1,2,1,9,88,0,0,46779,0,1,
1,2,7,2,88,1,2,0,0,1,
1,4,1,3,88,0,2,0,1,1,
1,2,1,8,4,0,0,45000,0,1,
1,2,1,8,88,2,1,20000,0,1,
1,4,1,4,88,2,2,0,0,1,
1,4,1,6,88,0,2,0,0,1,
1,4,1,3,4,0,0,0,0,1,
1,4,1,3,88,2,2,0,0,1,
1,4,1,8,88,0,2,0,2,1,
1,2,1,4,88,0,0,3700,2,1,
1,2,1,4,88,0,1,40000,0,1,
1,1,5,4,88,0,0,4000,0,1,
1,2,1,3,3,0,0,15000,0,1,
1,2,1,5,88,3,0,86000,0,1,
1,1,8,2,2,0,0,6400,0,1,
1,1,8,2,5,0,0,10400,0,1,
1,1,8,1,6,0,0,4800,1,1,
1,1,1,1,2,0,0,11000,0,1,
1,2,1,1,88,0,0,15657,0,1,
1,2,1,8,88,0,2,17281,1,1,
1,1,1,3,88,0,0,5257,1,1,
1,2,1,1,88,0,0,9475,0,1,
1,2,1,6,88,4,0,20362,0,1,
1,2,1,3,88,1,0,13352,0,1,
1,2,1,2,88,0,0,10514,0,1,
1,1,1,5,3,0,0,19141,0,1,
1,2,1,3,88,0,0,11194,1,1,
1,2,8,1,88,0,0,1249,0,1,
1,2,1,5,88,0,0,2008,3,1,
1,2,1,5,88,0,1,1249,1,1,
1,2,1,5,88,0,1,0,1,1,
1,2,1,5,88,0,0,0,2,1,
1,2,1,7,5,0,0,29785,0,1,
1,2,1,7,88,2,0,43166,0,1,
1,4,1,3,88,0,2,0,2,1,
1,4,1,9,88,1,1,105008,0,1,
1,4,1,8,9,0,0,14000,0,1,
1,4,1,6,5,4,0,26000,0,1,
1,1,1,4,3,0,0,12000,0,1,
1,1,1,3,88,0,0,0,0,1,
1,1,1,3,3,0,0,0,2,1,
1,1,1,4,88,0,0,3000,0,1,
1,2,1,3,2,0,0,5000,4,1,
1,1,1,3,88,0,0,4500,0,1,
1,2,1,4,88,0,0,8000,0,1,
1,1,8,1,2,0,0,2500,1,1,
1,2,1,9,88,3,0,18952,0,1,
1,2,1,8,88,2,0,5000,0,1,
1,4,1,11,88,1,1,0,0,1,
1,4,1,10,88,1,2,0,1,1,
1,1,1,5,88,0,0,0,1,1,
1,2,1,8,88,2,0,24580,1,1,
1,2,1,11,88,0,1,0,1,1,
1,2,1,4,88,0,1,11963,2,1,
1,2,1,6,88,0,2,6000,1,1,
1,2,1,5,88,0,1,2000,0,1,
1,4,1,8,88,2,2,34000,0,1,
1,2,1,6,88,0,0,21583,0,1,
1,2,1,5,88,0,1,2008,2,1,
1,2,1,7,88,0,1,13404,1,1,
1,2,6,6,88,0,0,0,1,1,
1,2,5,5,88,0,0,0,1,1,
1,2,1,7,88,0,0,5257,0,1,
1,2,1,7,6,2,0,21583,0,1,
1,2,6,5,88,0,0,16433,0,1,
1,2,1,6,88,0,2,3257,2,1,
1,2,6,6,88,0,1,5257,3,1,
1,2,1,9,88,4,0,43166,0,1,
1,2,6,5,88,1,0,12215,0,1,
1,2,6,5,88,1,1,8254,3,1,
1,2,1,7,88,3,2,10000,1,1,
1,4,1,9,88,2,0,77319,0,1,
1,2,1,5,1,0,1,10855,4,1,
1,4,1,9,88,2,0,43166,0,1,
1,4,1,10,88,0,2,0,0,1,
1,2,1,8,88,2,2,21583,0,1,
1,4,1,7,88,3,0,21583,0,1,
1,1,1,8,7,1,0,44287,0,1,
1,2,1,10,88,1,1,21583,0,1,
1,4,1,2,7,3,0,52500,0,1,
1,4,1,7,88,2,2,0,0,1,
1,4,1,5,88,2,2,13352,0,1,
1,4,1,5,88,1,0,21583,0,1,
1,4,3,4,88,1,1,0,0,1,
1,2,1,9,88,7,1,23500,0,1,
1,2,1,5,5,4,0,10000,0,1,
1,2,1,10,88,3,0,82000,0,1,
1,2,1,7,88,0,0,0,0,1,
1,2,6,5,88,0,0,31000,1,1,
1,1,1,8,88,1,1,400,1,1,
1,2,1,9,88,4,0,26704,0,1,
1,1,1,4,88,0,0,3929,0,1,
1,1,8,2,2,0,0,3200,0,1,
1,1,1,4,88,0,0,25000,0,1,
1,1,1,4,2,2,0,5257,1,1,
1,1,9,1,2,0,0,9186,0,1,
1,4,1,8,5,2,1,21583,0,1,
1,4,1,8,88,2,2,0,0,1,
1,2,1,8,5,3,1,34935,0,1,
1,4,1,11,88,0,1,0,0,1,
1,4,1,8,88,1,0,13352,0,1,
1,4,1,8,5,1,0,20000,0,1,
1,2,1,8,88,1,2,0,2,1,
1,1,1,10,5,0,0,13352,0,1,
1,2,1,4,88,1,1,0,1,1,
1,2,1,7,88,0,0,6958,0,1,
1,2,1,11,88,2,1,24207,1,1,
1,2,1,11,88,3,1,28541,0,1,
1,2,1,5,88,0,1,6958,0,1,
1,2,1,5,88,1,1,0,0,1,
1,1,9,1,88,0,0,0,1,1,
1,1,9,3,88,0,0,4560,0,1,
1,1,9,3,2,0,0,2400,1,1,
1,1,9,4,88,0,0,4400,1,1,
1,1,9,4,88,0,0,4800,0,1,
1,4,1,8,88,1,0,25000,0,1,
1,2,1,5,88,0,0,15475,1,1,
1,1,12,1,1,0,0,4400,0,1,
1,1,12,1,88,0,0,7600,0,1,
1,1,12,1,88,0,0,3929,0,1,
1,1,8,1,88,0,0,1249,0,1,
1,1,1,7,88,0,0,10514,0,1,
1,1,1,6,88,0,0,7858,0,1,
1,1,1,5,88,0,0,20758,0,1,
1,2,1,5,2,0,1,0,3,1,
1,4,9,10,88,2,0,43166,0,1,
1,2,6,4,2,0,0,8000,4,1,
1,2,1,4,88,0,0,5937,1,1,
1,2,1,4,88,0,0,8800,2,1,
1,2,1,4,88,0,0,0,2,1,
1,2,1,6,2,1,2,21401,3,1,
1,2,1,4,88,0,1,0,3,1,
1,2,1,8,88,0,0,7200,1,1,
1,2,8,1,2,0,0,3997,2,1,
1,2,1,8,5,2,0,43000,0,1,
1,1,1,6,88,0,1,6958,0,1,
1,1,1,9,88,0,1,9475,5,1,
1,1,1,9,88,2,0,38684,1,1,
1,1,8,3,1,0,0,5257,0,1,
1,2,6,4,3,0,0,20386,0,1,
1,2,6,4,88,0,1,8729,3,1,
1,2,1,5,88,0,1,3400,5,1,
1,2,1,6,2,0,0,10000,2,1,
1,2,6,5,1,0,1,0,1,1,
1,2,1,5,1,0,0,3000,2,1,
1,4,1,16,8,4,0,250000,0,1,
1,4,1,9,88,1,1,0,0,1,
1,4,1,8,88,2,1,20000,0,1,
1,4,1,11,8,4,0,25000,0,1,
1,4,1,8,88,2,2,0,0,1,
1,4,1,6,8,2,1,30000,0,1,
1,4,1,9,8,4,0,27500,0,1,
1,4,5,9,88,4,0,250000,0,1,
1,4,1,9,7,2,0,250000,0,1,
1,2,1,7,88,0,1,12000,1,1,
1,2,1,6,88,0,1,0,1,1,
1,2,1,7,3,2,2,0,2,1,
1,4,1,10,8,4,0,52000,0,1,
1,4,1,8,7,4,0,57352,0,1,
1,4,1,9,3,4,0,294000,0,1,
1,2,3,5,88,0,2,3200,2,1,
1,2,3,5,5,2,2,3900,0,1,
1,2,3,5,88,0,2,0,1,1,
1,2,1,10,5,4,0,20000,0,1,
1,2,1,6,88,0,1,5000,1,1,
1,2,1,11,6,4,0,60000,0,1,
1,2,1,6,4,5,0,30000,0,1,
1,2,1,7,88,0,1,1000,1,1,
1,2,1,7,88,1,1,0,1,1,
1,2,1,5,4,0,1,0,2,1,
1,2,1,5,88,1,0,22929,0,1,
1,2,1,4,88,0,0,9475,0,1,
1,2,1,9,88,2,1,80000,0,1,
1,2,5,5,88,0,1,0,1,1,
1,2,3,4,1,0,0,15500,1,1,
1,2,3,5,1,0,1,10800,1,1,
1,2,3,4,88,0,1,8000,1,1,
1,2,3,3,1,0,0,4400,3,1,
1,2,9,5,88,0,1,4000,5,1,
1,2,9,4,88,0,0,8000,3,1,
1,2,1,8,6,4,0,0,0,1,
1,2,1,8,88,4,2,72252,1,1,
1,2,8,2,88,0,0,3200,0,1,
1,2,1,3,1,0,0,9358,2,1,
1,2,3,4,88,0,0,1400,1,1,
1,2,8,2,88,0,0,0,2,1,
1,1,1,3,88,0,1,2008,1,1,
1,1,1,7,88,0,0,33427,0,1,
1,1,1,1,88,0,0,0,0,1,
1,1,1,1,88,0,0,4000,2,1,
1,1,8,1,1,0,0,2500,0,1,
1,1,8,1,2,0,0,4000,0,1,
1,1,8,2,2,0,0,4500,4,1,
1,1,8,1,2,0,0,5257,0,1,
1,2,1,9,4,4,1,66200,0,1,
1,2,1,7,88,0,2,9800,4,1,
1,2,1,6,88,2,0,25983,0,1,
1,2,1,7,6,2,0,20000,0,1,
1,2,6,7,4,2,1,50000,0,1,
1,2,5,7,88,0,1,14000,1,1,
1,2,1,5,88,1,0,20000,0,1,
1,4,1,9,4,0,0,9999999,0,1,
1,4,1,7,5,0,0,26000,0,1,
1,2,8,4,2,0,1,9400,2,1,
1,2,8,5,1,0,0,3500,3,1,
1,4,10,3,5,0,0,16000,3,1,
1,4,1,9,88,1,1,0,0,1,
1,4,1,11,7,4,0,63000,0,1,
1,4,1,9,7,3,0,0,0,1,
1,4,1,7,6,1,0,46583,0,1,
1,4,1,8,7,4,0,32000,0,1,
1,4,1,7,7,3,0,75000,0,1,
1,2,1,6,88,0,0,0,0,1,
1,2,6,3,88,0,0,10000,0,1,
1,2,1,4,88,0,0,10514,0,1,
1,2,6,5,88,0,0,5000,0,1,
1,2,1,4,3,0,0,5600,2,1,
